giant,dwarf,man,woman
250.2758923,102.3735817,176.6157705,154.4127978
244.4701668,123.6846354,167.1065024,167.2315503
245.1943147,126.6483936,182.0084957,154.8698912
257.0640251,126.5855428,184.9170784,162.7449579
256.4098073,118.6784559,184.5300579,159.6740982
252.4203051,142.459681,198.2360055,160.4834454
251.148653,129.4003468,190.9634162,146.3340064
258.3249946,137.7150557,167.3698896,142.5270041
246.5211411,125.9303502,169.3772964,172.5015279
275.4746344,119.2802707,186.9242355,160.9482675
238.6169894,126.0908188,183.7964556,135.6100343
243.7063637,154.8503346,175.7808057,162.1558327
261.7107155,145.4095646,194.6296208,151.1541458
239.2337549,124.4354542,177.1135338,146.193921
258.7327509,136.6413565,194.2788358,152.9793611
260.1750792,119.1566538,157.481796,151.248749
239.9399782,137.0172673,169.0879482,167.9467805
241.6553471,128.0119242,183.8813883,189.0940437
252.2395995,143.752454,186.7023847,160.9242013
250.5298114,119.6736038,193.7274953,148.401084
244.5998507,127.4917944,187.5243781,171.0854958
251.0291902,127.1331008,158.7948842,152.8961436
262.4722266,115.5894598,184.9843458,140.5333107
253.2470964,141.9323417,166.579939,173.7471599
247.9228233,129.254205,171.993734,150.8253195
265.1357081,144.3528456,181.4068822,154.121811
248.6361635,138.4771204,183.0920245,159.9136161
232.8396947,123.4864334,172.6182009,146.7841203
241.3840396,115.427878,171.605897,170.8770175
241.2989781,125.6778228,179.1253657,157.7844204
248.7100214,129.1551889,166.187508,170.130065
269.1882473,121.5304895,161.1679569,144.767186
246.0254057,125.0406272,179.7232001,154.1760962
250.4121165,124.0351413,194.9884103,160.6906314
257.3197641,125.9808679,171.552244,151.7656771
273.3434547,140.8118066,187.1029484,169.9726168
260.1849125,125.7682984,164.3250955,164.4580492
239.4234134,139.7166224,202.1083244,156.2898144
249.8572593,139.48502,185.7944605,147.7857584
259.0424078,147.2144782,171.3098504,166.8993422
256.1236954,144.7160268,149.8117261,167.1009025
242.3965529,134.7499242,170.8387683,169.0235968
242.0241609,122.8333323,181.8159267,168.692005
256.4443749,149.6707097,177.1689924,167.995075
230.1721699,122.0014815,188.5138515,144.8145385
253.3343895,130.7790751,173.5424916,163.7393524
239.9965788,140.3738268,198.488018,128.3390494
254.3307174,121.9938967,189.328164,166.3778547
233.1597133,128.3608742,199.4049529,177.1080923
247.0071567,130.5944088,167.7426976,155.8576032
249.3833531,129.5904504,169.5676301,155.1140935
254.0568601,137.2009426,181.1149373,154.2219208
250.4758544,137.3449469,185.6774407,156.2285131
253.1732215,116.145953,180.5487848,154.8780883
249.8098189,133.8060267,181.2076074,155.4669649
256.1588143,126.3043949,164.055081,145.7608223
247.4377503,121.4970263,184.5676645,168.7813822
254.8283533,128.6146722,172.7757045,145.0918337
253.3768111,136.8535955,188.7949916,164.797963
250.4376022,128.6765607,176.8185113,154.4976559
236.2634405,124.1058102,184.1841479,146.0449529
253.6098314,112.8816664,179.5930305,162.5999741
253.0122514,116.8459548,177.8398545,153.9982354
248.0836311,161.0020476,193.7211332,168.1264848
266.0515873,136.9107346,164.4828668,171.4990185
238.1522838,121.108834,180.2361098,168.9297015
262.4629492,136.1080493,172.2373114,155.4465756
252.8781482,134.6541,189.0909357,156.0831474
247.5673352,141.5919594,169.5258348,169.7638463
242.889708,128.9512389,168.8318929,163.6609252
247.6899427,148.2071346,191.6550319,152.8811848
262.0749206,131.773367,187.4252858,154.4998311
228.3373375,130.1313694,182.4492111,163.1103395
244.9608456,141.8353122,174.7293676,158.6187635
265.4871822,142.2249777,181.07303,169.6279287
231.6019229,138.5764924,180.8012007,152.4304286
249.6245147,130.4612548,173.8693169,157.088379
245.6489966,132.0432272,187.6594267,162.1512135
259.7651267,128.8435213,199.6841097,172.8375359
259.6242271,126.0358541,183.1482772,168.5835086
243.7823157,126.1413305,197.99741,155.8818247
243.7474491,134.7096012,169.5846072,148.645191
252.1121397,130.044672,193.8475649,164.9183333
242.8838583,129.8344889,202.3583594,161.0116636
245.5745299,134.7588122,195.6046333,165.6084718
249.8514092,135.0372043,181.6970854,151.1269034
253.9252394,143.1865528,151.0804221,165.0262935
236.4628279,141.2830269,183.7340074,167.4209501
252.9657385,131.1925353,179.8617481,158.9763771
260.4704582,133.8813202,162.3174253,152.3580313
246.4613242,125.8550554,180.926007,177.4592438
250.3301859,138.4156298,168.4981091,158.5192755
260.2284279,148.295751,163.6969484,152.1222577
259.9968461,124.8537851,188.744612,161.8098218
233.95469,134.4159356,196.3391038,158.937767
241.9325514,143.8035442,196.1663586,170.558644
246.3749262,133.829467,190.561026,151.2643246
243.717544,131.5691199,177.2497578,165.9678106
256.0452554,129.4205616,194.6429799,145.4509908
239.9527432,126.0489523,176.9537693,165.7133782
244.9208269,129.7611995,176.5801475,149.9888724
252.7750902,140.5970483,201.3166942,175.1705493
258.8258261,131.1571538,176.5523845,158.6771929
246.0805778,129.7793247,191.0475883,162.0381024
235.9238143,141.4439111,176.4779792,169.1076485
239.3654126,128.583117,199.2712218,143.4181996
256.2326684,111.6043004,174.454287,164.5626001
252.2048541,122.9159889,182.9202038,168.287379
230.431583,125.7475223,175.9285405,163.961297
251.8178826,114.2270722,195.9523712,166.0420444
250.4887083,122.3806888,189.8570782,163.7896383
227.9025206,138.3728899,193.3107446,163.7790013
248.3370001,135.1891504,175.5375213,165.9330637
246.6363726,137.4864037,188.381971,159.1119273
256.3177256,145.3017159,181.6617117,157.319408
260.0109244,104.0457425,180.0807175,149.8932741
243.3181883,131.8466871,181.5112972,165.0063486
244.1888116,126.4486283,193.6823376,162.6902263
253.0708869,125.7467317,175.13911,164.2960278
252.4098854,129.5928562,176.0577455,161.1743595
250.8304207,123.9031272,189.6627575,147.0301298
246.4234289,129.1092663,172.0064304,160.627837
251.0546662,125.7610994,174.0252484,160.9551711
251.2875402,122.8494142,191.0184318,156.3010752
248.310513,116.3692616,168.1128486,171.3914213
258.2535822,131.7495311,183.8782357,169.7304908
248.2978959,118.5695476,151.2258051,152.2644621
252.4408616,129.7259318,176.1690853,163.000204
227.7358234,120.4935,168.8956028,174.4868082
255.3135614,120.4309128,176.2688309,171.3120927
244.8928612,137.9025782,172.7834388,168.2503751
266.4935944,132.1966993,179.2981474,156.1600442
249.4386773,130.7798854,176.1378776,180.0174611
241.5296896,137.3827855,177.5157594,145.9540946
241.5986234,135.7457494,163.8488328,141.4912595
245.4822485,114.9368693,190.3005038,159.3620793
234.1360607,121.3516421,185.0588587,153.5957431
260.6159895,139.6461206,183.5329762,167.3612467
237.9340147,134.7958595,180.7982721,147.3925705
239.1101664,143.744906,189.9365409,153.9502055
263.3414758,111.9532743,170.4404203,170.9944968
255.1158103,119.4832084,186.251065,164.9534432
247.8502806,132.3304177,166.1715032,166.3107465
258.5522717,132.928499,181.9227321,168.2806438
281.0768281,136.1014427,173.0820585,165.2283987
254.1327609,132.1399891,180.4558046,164.8721104
265.814995,135.0569928,166.7837384,170.2076227
251.5202648,144.9534727,181.6439921,157.2956372
261.6278163,120.3912988,173.9574083,151.0546902
247.4670252,138.2232784,184.7557452,166.2012613
251.1704479,163.2957539,200.0301398,149.8299474
237.5284295,120.5467411,174.7052479,175.9078579
249.5676231,143.2457871,192.0272758,167.5785132
232.3054675,121.4603466,170.3794709,158.770636
246.9594978,151.0789266,184.7350211,157.6560202
245.4263422,137.7389614,175.2650058,146.1235258
249.7479049,127.9967194,185.0620891,169.1634745
260.1932031,133.6805261,184.0748706,153.0951843
254.6911802,138.478476,194.6331759,161.1298547
242.7826759,139.0758146,178.8459278,164.6147952
233.8570809,142.9248087,166.0518214,160.2050245
257.5906387,135.1461355,185.9287912,173.0430898
238.1723165,129.654422,193.7791568,151.7535973
239.6332816,121.8618113,163.9089183,174.9388164
251.0166652,128.9632384,194.1376427,178.4437919
233.1097956,119.9825967,178.9314519,172.9093874
242.2882597,133.0548932,170.6412806,156.6835796
237.5988202,137.1984396,177.9398309,173.0144981
262.7638191,116.3787384,171.2755208,157.0910395
263.1172,141.8631133,198.9291913,153.6546751
246.3918536,136.1373014,187.5180677,153.324331
250.0545434,114.0528071,180.1804163,155.9718455
244.9506443,130.7207814,163.4574552,160.1100279
252.8710423,122.571358,164.875367,164.8094892
230.9452309,110.5844782,198.4616389,174.0693844
268.8709965,135.5612847,158.3093152,153.858191
264.0442187,141.8569296,179.9207505,167.6238706
262.594814,127.8542379,193.596909,151.6392568
255.9316015,134.2019818,163.9788124,145.409487
250.8449608,127.2245366,177.2369539,146.5437551
242.7848653,124.4365468,162.4574001,165.9020191
255.4844333,143.366122,181.5606087,155.9689523
248.572497,114.9572813,181.4456846,153.9605406
259.2171305,136.7978368,164.7888114,148.1198683
246.6966753,107.0803124,188.5728032,142.6649087
257.9687707,130.7527662,176.1776474,166.3172437
250.9203917,125.9728817,187.3345836,162.4214791
264.1400775,122.8571057,190.0240614,157.0110228
251.6356424,142.6845873,192.777797,167.1452551
236.9704153,125.7883695,172.2614223,159.3826305
218.4390947,122.6206543,201.6298202,146.7844027
243.7852246,131.4232774,176.2348027,167.7075446
250.920378,135.6578917,202.8374572,155.8184656
252.7690857,122.4672219,187.2098735,157.1384305
256.2896696,124.7322362,181.4144868,146.4116976
240.5657847,130.6342751,180.4826998,141.1891204
257.0636452,120.2398713,172.5641056,170.0460364
243.8566238,136.2525455,184.5555721,172.3257612
247.0950884,141.3983791,177.1417122,172.104783
251.7573682,136.5206201,181.0201739,163.8755193
258.4177123,143.6009182,190.1192453,152.6224607
243.6389827,144.4646935,182.4724613,174.9284428
263.1968332,138.7733601,183.064279,159.2298812
247.2348537,132.3988058,176.1665679,165.2388114
277.3627284,138.7000432,181.6481679,160.176532
267.8369357,112.9838277,178.8375887,163.7167463
259.2417587,128.6124542,182.3302961,158.0911486
264.86489,144.251032,184.6239944,154.3596416
236.7249263,129.5556385,192.7389797,130.9643849
242.5301745,130.6340974,196.2081984,162.4053678
243.1024405,128.828104,178.507707,163.1117197
245.0471982,137.6615333,175.4345004,165.629636
273.3132004,141.9486248,175.5789471,154.8015843
264.3412264,128.6102605,177.6349965,145.0658306
239.623388,133.8464235,183.984704,146.9926407
265.5438392,138.4357363,165.0228486,170.5169666
247.5575212,119.5361373,193.09331,165.8518731
241.4161572,126.149355,186.7072468,157.784761
241.5791711,130.7267136,177.8773799,147.7971908
235.111694,128.300958,188.0008674,156.5153785
255.3034626,131.6693804,183.9566327,165.6208968
239.9058214,149.7441019,178.9697208,145.1441918
249.4455102,128.7138542,184.8910235,155.1036826
261.4130607,138.726496,194.4253895,174.3292662
254.6048881,135.7161966,169.3038726,138.5951664
243.372415,135.5048683,174.3289263,162.1575613
250.3027249,112.6968857,172.2469994,155.0626698
246.9436973,126.8305578,165.9978681,147.3844833
264.6385193,134.9455083,189.5984866,166.0142805
244.7789905,121.3146721,183.7500078,169.608431
244.06285,129.5691697,179.816994,155.0996692
246.734266,141.2618109,198.4744528,168.8585767
252.9819306,129.8766309,194.0063046,159.1955395
253.7788651,150.8142243,165.2088518,159.1168827
249.4883618,140.8208092,194.1821461,149.5071309
248.355279,117.2251851,172.1589253,162.5174404
245.4228399,135.010277,170.9137654,167.0545189
250.7164036,114.0082132,189.9343552,149.7799544
240.6772104,114.3380336,175.6242456,163.917914
248.623042,120.3354997,188.4312186,159.4322484
243.4725233,137.0448875,195.6529391,153.5708898
266.854298,130.1183626,177.7457883,167.5676912
260.4054026,125.6747247,180.1781771,165.2748803
246.8054615,123.3029961,191.1346799,149.559822
259.7908917,144.6953057,180.2509306,164.724565
241.7531754,149.1395534,186.5741771,133.2678703
238.9967831,130.4425582,174.868987,147.6140601
252.0349664,124.958034,180.8979439,154.0155922
253.420364,127.7784849,199.8482225,171.6667089
246.3344985,121.2794209,174.1230502,152.9592804
244.8661693,117.6046202,170.3541376,141.0831504
273.341432,111.8700547,188.9376193,158.1288929
273.4744744,126.5501311,177.9171156,161.60936
250.7623309,125.1863076,177.1894948,143.0318843
252.4674446,116.2944645,170.6041952,178.4650863
242.3505898,135.6899056,183.2657,133.9913505
246.8585167,126.5262455,178.6399534,180.1242778
263.3230168,126.3425765,190.541028,150.3833707
263.1530891,136.352814,192.8664849,186.0596804
250.8828324,131.2278277,165.2341089,161.5800148
257.5921881,124.9747715,191.8546119,155.1891033
245.7577981,129.7423884,193.763309,136.8238557
236.2532337,127.249484,186.4288626,155.9487549
257.5372627,148.7233792,175.9577837,153.4905052
243.1205932,134.9770912,179.7824238,162.945043
265.5944024,142.0882758,173.8696187,151.0358889
256.3282997,118.9040331,193.2889999,156.5679411
261.432309,126.6295832,190.8385997,172.7892987
270.8513008,123.6539988,181.9003538,159.2987841
271.8877294,115.6452787,174.0900096,143.0001419
256.8644614,129.950328,169.8207676,153.8958561
245.7226532,143.8917313,169.9853863,177.8823521
251.8479524,134.4828285,169.0833771,174.3208717
255.7059724,137.3000597,174.6196927,141.9501642
258.6173478,127.4464097,171.7553396,168.5627699
240.0120026,127.4683746,183.0430985,152.9216724
261.793358,114.242999,184.8313271,168.0569879
239.5736673,149.4243083,180.9822819,167.0515863
238.4439926,125.4967876,180.2327113,144.3777501
255.1153608,125.8243007,178.2309246,150.3356337
251.2230954,140.5204928,185.6510105,156.1651038
235.4141147,114.1579671,172.3338233,159.9860568
232.2923748,137.9687076,164.1909064,150.0777139
252.7704636,110.8016275,175.3399669,171.0826444
244.2973601,135.7485924,170.1081483,163.385721
245.6092158,138.7503466,168.063684,161.9566829
251.9402757,132.8376535,177.2089172,164.349664
254.6810742,140.2607199,163.4473819,170.6345273
245.0491631,151.412659,195.5559418,149.4110665
250.9652005,117.4174531,169.5597517,148.3582415
273.247385,116.5950855,161.2945065,171.9740391
258.2780407,130.0666905,195.0079391,167.6174197
235.1442767,126.163378,201.9751294,156.242585
259.3659196,127.8338288,175.3254835,152.3811369
237.9127953,132.5466915,177.3183541,153.7620946
240.3330243,117.955781,180.1749214,162.8401541
253.6892203,128.1306715,167.3574968,159.6130136
251.1197567,130.800549,196.5341231,147.4503947
261.204269,125.2134982,181.0980869,147.6543993
261.5756629,122.9310343,170.5721579,158.604087
263.2520468,135.1256757,163.3288622,172.7482406
262.015836,126.8006967,188.3330776,159.9283393
262.3724798,121.5634708,140.1859753,172.8314462
260.5073104,133.1156004,176.3199793,158.9370115
259.4283266,120.8657901,169.4081011,153.3353098
243.708002,114.7285376,170.7132848,155.300154
249.906178,129.2971654,188.9091965,161.9490407
242.5964041,138.7590202,176.0186779,158.8380424
253.0019896,108.1794391,174.4394984,149.5331627
238.6403567,149.6426266,168.3439401,156.8135195
243.0653843,137.2312481,171.3327433,162.1952888
276.285233,142.1880813,174.0248488,154.6772123
257.7649426,133.5045448,172.1834507,146.2669913
259.712219,123.4173241,174.4747703,150.6168477
246.3092474,148.3170094,175.5713317,158.1302995
228.6455154,113.2604031,163.29131,175.8458749
262.7538187,125.8376609,172.782594,133.5043105
246.8419491,137.2464993,174.9760923,175.8576619
247.0860901,112.4122297,192.9220229,158.3936124
260.8779748,130.5344357,175.8447568,135.0732031
238.5456081,118.8467374,174.4018637,164.5439398
257.8481918,123.535691,181.5696819,152.0786226
253.2918608,147.4465748,176.6557839,163.5451963
241.3928878,123.7999836,167.6043199,162.885835
249.1561917,128.8972127,195.2466122,158.5213682
245.3366216,137.5382009,185.0267895,148.5181599
246.1535154,133.2714675,196.8505326,166.2307618
241.2336273,128.070251,184.0683692,155.8821986
256.7443855,130.5401851,178.348136,156.8398212
234.8717577,131.8523629,173.530205,178.8225522
251.9604917,133.281835,195.8607641,166.4715134
255.2188612,124.3413043,177.5884982,148.9501495
252.4850731,144.6337232,182.7296926,165.5262432
242.7646283,130.4834943,200.4593567,167.9963751
254.2956627,126.2009908,172.9101213,156.4902668
257.2005809,120.5869757,185.7621337,146.8900737
248.8452849,123.5061179,173.4118568,147.9615372
239.943903,133.9866032,160.469725,137.9347446
250.9047559,130.1280002,180.4702347,156.1551547
253.3401872,123.812866,182.6480489,159.3378022
246.0355347,136.7756738,186.4026298,169.0081584
254.6151804,119.1115865,185.2857101,149.9512416
254.226091,115.3412297,169.180258,151.8338976
248.3021829,133.6316813,157.9005696,171.9246611
271.5187474,126.9227438,171.0069466,152.7852852
249.055943,123.0983658,175.7849715,156.6867609
252.7632911,118.7719768,189.1301527,152.4908488
245.8859876,123.5529387,168.2334404,162.765239
243.5847302,139.1457516,173.6461568,188.3851545
254.306961,126.7643787,174.7013166,169.3667761
262.0293251,128.1671678,167.5159431,163.848327
263.9730577,131.987668,170.1616562,157.5436479
252.7018608,118.4401857,163.5000378,173.356463
251.8122326,116.9887367,181.1849724,176.1373561
246.2628409,124.7342837,162.6375197,165.4991196
241.3370497,144.0044198,188.7648065,144.6831006
243.1654941,145.1246882,174.8258405,152.5304579
261.2186754,130.0206877,194.757477,184.5296505
260.155491,130.6133317,181.2265134,142.376362
246.8038594,133.1655106,178.1279568,155.9652628
246.416772,125.1439852,167.883762,168.7940568
255.5329414,121.8754907,183.2761628,149.7336649
244.1750383,129.5181153,167.2840086,145.4326997
253.8191038,126.8527498,174.7926265,154.3385174
240.6027695,112.4817819,198.2200236,142.0515786
263.7510784,131.5970343,175.9530836,164.7574297
249.1315122,127.5205102,173.0844038,149.680424
257.6774136,152.5880014,190.7286019,165.5318067
248.8870423,133.8551395,163.9401348,154.4270327
238.366366,148.9566351,177.7527284,159.6312571
247.3971614,124.3820878,178.489699,142.4474485
270.194854,144.331554,158.3676545,153.6642993
262.0880418,117.2381815,173.8865657,159.7835818
259.8003944,130.5224089,184.3113084,151.9353014
242.6288888,137.0580597,180.0404674,152.8129029
256.8017746,150.6819674,180.3918076,165.5328764
249.3375792,140.2111595,173.1431811,159.3418266
240.3368452,122.551546,173.784142,148.6640159
249.8104769,145.2217004,182.1597787,158.7029341
263.761244,103.6659193,176.0971101,153.1235564
264.0056299,126.4380177,177.9406799,157.4638851
268.1620881,137.746816,187.1285499,150.3070116
236.8055646,120.5964604,177.6923293,154.577609
255.9183875,131.4737703,189.6581222,168.6304982
260.3642048,141.4816303,176.8710159,166.8482254
248.3511663,131.9536777,167.4200167,161.4887871
248.6782038,133.0254076,184.4634009,165.2456918
257.9427927,116.6055094,182.0116985,175.8429174
259.4025607,132.2863221,181.1835919,156.3050877
255.9517593,112.9461367,176.6659385,159.467667
248.165924,153.5782411,183.4907772,139.7892905
258.456498,119.3149093,182.7755699,155.6580308
239.8324357,135.7409225,184.3772953,177.5094254
251.7795813,125.4985473,172.9807882,172.3677659
257.3224009,134.7220921,170.0770716,165.1823394
255.2039863,138.7100827,183.8317132,155.9914013
257.722425,130.3500184,182.2110581,149.8272145
268.3629049,118.3218775,184.7535856,150.735938
233.5210341,130.4973656,188.1744433,173.790249
236.4604366,120.2937224,193.944964,159.0179602
242.8560878,115.7889211,171.3409317,154.8733721
253.4244789,106.9135808,178.0176635,176.5668139
249.6348065,132.4263856,194.6619245,157.3900843
255.8841697,133.0684133,183.2967232,145.9117418
242.1318122,140.0667754,178.409942,152.9725944
259.5476831,139.2411376,186.3355113,166.9244652
268.3974244,129.1094082,178.6153004,164.0826291
233.8448232,128.8487561,181.2390775,165.6517887
236.8956294,148.8772526,173.7719344,152.2948175
251.4644957,133.9399172,198.2381831,159.473111
248.4779307,117.8874877,182.5251802,154.3065137
245.5208621,128.8769171,186.8936986,129.4961379
252.1809824,131.4359265,169.871044,166.3052149
258.4905403,143.5463963,187.597391,163.0208145
243.868377,121.2735085,178.3540444,155.4749826
241.6504454,126.1668818,173.5095842,140.8817812
245.8452297,132.8885085,175.5094682,145.6122243
260.6532142,119.4206839,195.5501018,182.7520804
249.936023,129.4019222,205.1019884,169.5548083
266.2886073,123.8870259,184.7428253,164.7679999
255.672767,122.1219095,176.6147894,148.120506
264.0032967,125.7853253,186.321651,161.9804102
251.3487074,141.4685958,168.8398851,165.5269791
265.7133127,146.7633467,189.5889717,162.119657
251.8408257,140.8624781,189.7912701,152.9405274
247.7223075,145.0628005,150.2124976,159.8018597
274.233978,129.3265397,179.9566321,163.9973676
227.4836476,120.5488714,184.9560346,171.1284001
243.5500048,121.6824918,154.5623454,172.8967068
247.7076181,115.4664409,188.9715064,147.4274649
252.3349468,124.3864058,192.6221964,177.0286572
244.0745993,124.6358199,186.4508796,155.1586788
240.0968233,127.8710032,162.7036354,158.8407487
254.0076845,119.7580278,183.1594583,154.5842554
256.4919272,107.3482596,188.4910531,155.4718189
248.2432193,115.30481,180.22498,141.2607869
251.6541968,130.3249774,171.0805736,157.3501997
270.1630334,147.6037596,184.3053971,159.1379801
256.0999468,140.0805518,183.9706131,144.6063367
244.235245,135.4968138,172.7150045,158.4664321
257.7187363,114.8831377,187.7996672,156.4723086
242.0866312,153.7553545,181.7125385,150.0436511
260.9026985,113.1613939,178.8310725,173.9243857
236.7973784,130.4011492,174.9203016,162.8107159
251.9750828,123.3143492,186.478727,162.3967304
258.9904552,142.3766205,161.3292346,158.4329528
245.9026977,137.7902809,180.1863165,167.155037
246.4289041,138.398932,171.8652171,174.0603086
245.096704,136.1816104,163.610899,170.6487065
260.154638,144.5751344,171.8234945,148.9019646
239.1082388,124.2077023,189.5446131,141.6367978
263.3008315,116.6887042,168.4105566,153.0373916
241.9134166,137.0632307,179.6756739,168.0803938
234.0986369,139.9612419,182.8423682,156.534259
252.3353554,121.3890276,176.47975,160.1349647
237.6220013,127.7099864,180.5988065,167.0546053
254.7757139,135.3952503,156.7502339,142.4151215
243.8513473,128.0178136,168.69751,161.2041967
248.8498347,109.7764795,169.0617248,139.2463179
241.5793044,124.4546129,194.5078841,152.0403305
263.572771,117.73995,160.0017286,168.1166337
257.1831818,145.258664,182.6840762,176.3407069
239.0448099,147.7265303,163.8533127,163.1542539
245.6188597,129.6822515,191.6453656,154.1560994
243.8193638,125.2762075,182.4026096,160.5728773
235.7168318,129.539625,178.2783324,158.1666412
238.052488,110.3546509,180.761862,172.4140063
238.7862762,145.5721123,187.9749477,143.7611924
259.3295687,139.7327641,169.5560753,160.1045241
256.0021314,127.9321424,171.8896941,167.4492086
249.602629,117.0108932,174.5125708,165.2261523
261.1241169,142.2212345,186.8132852,147.9089292
251.379699,133.9747804,199.4423959,166.6332226
248.6090724,127.9398627,177.6366406,174.651328
251.0754594,136.5508488,171.2282715,167.0571852
250.2853679,129.1509492,184.4440849,156.1970307
251.7603699,121.8066224,186.9056331,170.2427721
252.7711537,140.7921089,169.6762623,157.023598
253.9612446,125.021419,169.0177247,161.2739034
241.3213092,136.9360661,190.989375,150.3694404
238.9252043,128.471444,175.9874761,178.7192656
241.8733851,136.0823161,183.4241041,167.834705
230.5809801,128.6315378,176.9360387,180.3428762
240.4666088,133.9562763,176.7984527,170.2697363
237.1379091,122.9753517,179.9685989,149.1669292
252.7841187,123.7412158,174.9502961,163.7101456
254.2381224,129.4321605,175.9566616,159.4268975
265.6495792,114.8199303,175.1616296,151.6690179
261.4579403,122.2563657,201.7434178,172.4766718
248.4947124,122.6420613,177.2320836,172.2722338
226.5129167,119.5450445,178.049003,181.4790217
253.1119426,136.6904859,191.6805548,143.2488367
244.4944066,130.5842511,158.2355263,165.4970968
237.0238614,143.9465529,193.433547,141.9780126
257.1228855,139.1531222,189.3361508,154.4842198
260.5618702,122.4122325,177.1773928,155.4498968
253.8782483,117.4389112,154.0638904,171.1118579
264.3429485,117.3049389,176.2566511,146.8043662
251.6091234,121.1416407,181.2175463,161.1416914
253.102748,117.2253868,191.6518648,151.3621238
235.2146074,122.8373114,174.2147041,148.7666401
249.6913625,132.0174674,170.8278599,164.6729927
246.990814,119.9517694,176.4075923,150.9350095
242.7264733,152.6145258,197.6408889,157.3337286
243.8386464,127.6651497,190.9778879,155.8156803
250.5594203,135.8908045,176.2794944,157.8088861
241.5993959,143.1705229,182.7158449,164.5116871
248.4003882,132.4847083,185.9549514,168.5934502
246.5918857,139.8113846,167.0412143,148.8274637
249.3865117,126.6957138,183.7698529,165.9232235
255.9606056,134.2483099,181.4478032,151.1945754
238.9153983,110.3683776,173.2278398,180.3807421
249.6434602,152.9826245,186.4584576,159.2870961
245.0052392,122.0568656,186.2696627,153.4538624
254.6068083,129.771279,188.7505997,149.7106213
238.5853775,121.6887164,174.5322282,160.3820333
246.03539,134.8374593,186.4844006,169.8400055
229.096305,135.8498877,183.4205791,155.6706862
253.8841672,125.5830667,194.1119163,169.7631058
247.2088893,123.9945125,188.4527433,167.304546
259.8449376,128.2709249,177.5225042,145.5629882
249.2633284,140.0690812,181.7650304,180.1019504
238.9404104,131.5634,168.4331186,172.1131217
253.5612054,125.3374718,178.8182747,157.5050143
242.0173916,129.4623685,202.7921764,158.9189519
255.7319017,139.2944986,186.9105999,154.9946504
242.1136262,143.5759509,169.4067145,158.3314077
239.30696,122.6053458,185.0995867,153.3314586
252.6882901,128.7144891,181.2462915,172.7968367
229.264865,129.4783441,170.3158421,152.7158665
268.3482786,134.3560796,172.3062996,152.978982
259.1947925,144.6631221,161.2026585,155.3093406
237.0667746,125.5683218,170.9615023,147.1110969
245.0424757,136.071981,180.3160122,148.397513
247.7835655,124.4786706,171.6470377,153.1526983
225.0831835,141.2470257,160.1265512,162.8926428
256.0144247,121.4008422,201.7793807,169.4557436
262.9334774,132.510289,170.7649121,167.8608791
241.4210047,125.1172012,178.4242566,168.0094064
262.1972399,130.6809928,178.7797879,157.5994675
251.3864999,152.1833799,184.9067399,147.5263855
260.8237239,129.7288319,184.7841206,154.2221186
259.6828641,144.200518,183.2975533,171.7018953
240.5274882,122.1379086,163.4041171,160.0536076
244.7177222,126.0859685,173.9236184,164.2969382
250.1484683,130.9199487,168.2628629,164.7121508
232.5986224,123.1136979,183.1692952,154.8076276
